Unnamed: 0,grid_cell,event,fulldate,cov_all,killing,box_duration,exp_duration
1840,543,1,2014-09-01,0.0,0.6,1,90
1841,543,2,2015-09-01,0.0,0.9,210,30
1842,543,3,2016-09-01,0.0,0.9,210,30
1843,543,4,2017-10-01,0.73,0.9,210,30
1844,544,1,2014-09-01,0.25,0.6,1,90
1845,544,2,2015-09-01,0.666666667,0.9,210,30
1846,544,3,2016-09-01,0.0,0.9,210,30
1847,544,4,2017-10-01,0.73,0.9,210,30
1964,579,1,2014-09-01,0.25,0.6,1,90
1965,579,2,2015-09-01,0.8,0.9,210,30
1966,579,3,2016-09-01,0.0,0.9,210,30
1967,579,4,2017-10-01,0.73,0.9,210,30
1968,580,1,2014-09-01,0.0,0.6,1,90
1969,580,2,2015-09-01,1.0,0.9,210,30
1970,580,3,2016-09-01,1.0,0.9,210,30
1971,580,4,2017-10-01,0.73,0.9,210,30
1972,581,1,2014-09-01,0.5,0.6,1,90
1973,581,2,2015-09-01,1.0,0.9,210,30
1974,582,1,2015-09-01,0.0,0.9,210,30
2074,611,1,2014-09-01,1.0,0.6,1,90
2075,611,2,2015-09-01,1.0,0.9,210,30
2076,611,3,2016-09-01,0.0,0.9,210,30
2077,611,4,2017-10-01,0.73,0.9,210,30
2078,612,1,2014-09-01,0.8,0.6,1,90
2079,612,2,2015-09-01,0.8,0.9,210,30
2080,612,3,2016-09-01,0.583333333,0.9,210,30
2081,612,4,2017-10-01,0.73,0.9,210,30
2082,613,1,2014-09-01,0.0,0.6,1,90
2083,613,2,2015-09-01,0.8,0.9,210,30
2084,613,3,2016-09-01,0.2,0.9,210,30
2085,613,4,2017-10-01,0.73,0.9,210,30
2156,634,1,2014-09-01,0.75,0.6,1,90
2157,634,2,2015-09-01,0.666666667,0.9,210,30
2158,634,3,2016-09-01,1.0,0.9,210,30
2159,634,4,2017-10-01,0.73,0.9,210,30
2160,635,1,2014-09-01,0.4,0.6,1,90
2161,635,2,2015-09-01,0.9,0.9,210,30
2162,635,3,2016-09-01,0.833333333,0.9,210,30
2163,635,4,2017-10-01,0.73,0.9,210,30
2164,636,1,2014-09-01,0.0,0.6,1,90
2165,636,2,2015-09-01,1.0,0.9,210,30
2166,636,3,2016-09-01,0.333333333,0.9,210,30
2167,636,4,2017-10-01,0.73,0.9,210,30
2240,658,1,2016-09-01,1.0,0.9,210,30
2241,658,2,2017-10-01,0.73,0.9,210,30
2242,659,1,2014-09-01,0.666666667,0.6,1,90
2243,659,2,2015-09-01,1.0,0.9,210,30
2244,659,3,2016-09-01,0.666666667,0.9,210,30
2245,659,4,2017-10-01,0.73,0.9,210,30
2246,660,1,2014-09-01,1.0,0.6,1,90
2247,660,2,2015-09-01,1.0,0.9,210,30
2248,660,3,2016-09-01,1.0,0.9,210,30
2249,660,4,2017-10-01,0.73,0.9,210,30
2250,661,1,2014-09-01,0.0,0.6,1,90
2251,661,2,2015-09-01,1.0,0.9,210,30
2252,661,3,2016-09-01,0.5,0.9,210,30
2253,661,4,2017-10-01,0.73,0.9,210,30
2254,662,1,2014-09-01,0.166666667,0.6,1,90
2255,662,2,2015-09-01,0.666666667,0.9,210,30
2256,662,3,2016-09-01,0.625,0.9,210,30
2257,662,4,2017-10-01,0.73,0.9,210,30
2258,663,1,2014-09-01,0.3,0.6,1,90
2259,663,2,2015-09-01,0.8,0.9,210,30
2260,663,3,2016-09-01,0.9,0.9,210,30
2261,663,4,2017-10-01,0.73,0.9,210,30
2262,664,1,2014-09-01,0.611111111,0.6,1,90
2263,664,2,2015-09-01,1.0,0.9,210,30
2264,664,3,2016-09-01,0.666666667,0.9,210,30
2265,664,4,2017-10-01,0.73,0.9,210,30
2322,681,1,2014-09-01,0.5,0.6,1,90
2323,681,2,2015-09-01,0.875,0.9,210,30
2324,681,3,2016-09-01,1.0,0.9,210,30
2325,681,4,2017-10-01,0.73,0.9,210,30
2326,682,1,2014-09-01,0.533333333,0.6,1,90
2327,682,2,2015-09-01,0.7692307690000001,0.9,210,30
