Unnamed: 0,event,fulldate,cov_all,age_cov,min_season_cov,fast_fraction,grid_cell
1353,1,2013-12-01,0.4,0.9,0.5,0.6,544
1354,2,2015-09-01,0.4,0.9,0.5,0.6,544
1355,3,2017-12-01,0.75,0.9,0.5,0.6,544
1443,1,2013-12-01,0.4,0.9,0.5,0.6,579
1444,2,2015-09-01,1.0,0.9,0.5,0.6,579
1445,3,2017-12-01,0.75,0.9,0.5,0.6,579
1446,1,2013-12-01,0.4,0.9,0.5,0.6,580
1447,2,2015-09-01,1.0,0.9,0.5,0.6,580
1448,3,2017-12-01,0.75,0.9,0.5,0.6,580
1449,1,2013-12-01,0.4,0.9,0.5,0.6,581
1450,2,2015-09-01,1.0,0.9,0.5,0.6,581
1451,3,2017-12-01,0.75,0.9,0.5,0.6,581
1452,1,2013-12-01,0.4,0.9,0.5,0.6,582
1453,2,2015-09-01,0.0,0.9,0.5,0.6,582
1454,3,2017-12-01,0.75,0.9,0.5,0.6,582
1524,1,2013-12-01,0.4,0.9,0.5,0.6,612
1525,2,2015-09-01,0.88,0.9,0.5,0.6,612
1526,3,2017-12-01,0.75,0.9,0.5,0.6,612
1527,1,2013-12-01,0.4,0.9,0.5,0.6,613
1528,2,2015-09-01,0.6363636363636359,0.9,0.5,0.6,613
1529,3,2017-12-01,0.75,0.9,0.5,0.6,613
1578,1,2013-12-01,0.4,0.9,0.5,0.6,634
1579,2,2015-09-01,1.0,0.9,0.5,0.6,634
1580,3,2017-12-01,0.75,0.9,0.5,0.6,634
1581,1,2013-12-01,0.4,0.9,0.5,0.6,635
1582,2,2015-09-01,0.9487179487179492,0.9,0.5,0.6,635
1583,3,2017-12-01,0.75,0.9,0.5,0.6,635
1584,1,2013-12-01,0.4,0.9,0.5,0.6,636
1585,2,2015-09-01,0.666666666666667,0.9,0.5,0.6,636
1586,3,2017-12-01,0.75,0.9,0.5,0.6,636
1644,1,2013-12-01,0.4,0.9,0.5,0.6,659
1645,2,2015-09-01,0.42857142857142894,0.9,0.5,0.6,659
1646,3,2017-12-01,0.75,0.9,0.5,0.6,659
1647,1,2013-12-01,0.4,0.9,0.5,0.6,660
1648,2,2015-09-01,0.33333333333333304,0.9,0.5,0.6,660
1649,3,2017-12-01,0.75,0.9,0.5,0.6,660
1650,1,2013-12-01,0.4,0.9,0.5,0.6,661
1651,2,2015-09-01,1.0,0.9,0.5,0.6,661
1652,3,2017-12-01,0.75,0.9,0.5,0.6,661
1653,1,2013-12-01,0.4,0.9,0.5,0.6,662
1654,2,2015-09-01,0.8,0.9,0.5,0.6,662
1655,3,2017-12-01,0.75,0.9,0.5,0.6,662
1656,1,2013-12-01,0.4,0.9,0.5,0.6,663
1657,2,2015-09-01,0.818181818181818,0.9,0.5,0.6,663
1658,3,2017-12-01,0.75,0.9,0.5,0.6,663
1659,1,2013-12-01,0.4,0.9,0.5,0.6,664
1660,2,2015-09-01,0.6575342465753421,0.9,0.5,0.6,664
1661,3,2017-12-01,0.75,0.9,0.5,0.6,664
1701,1,2013-12-01,0.4,0.9,0.5,0.6,681
1702,2,2015-09-01,0.791666666666667,0.9,0.5,0.6,681
1703,3,2017-12-01,0.75,0.9,0.5,0.6,681
1704,1,2013-12-01,0.4,0.9,0.5,0.6,682
1705,2,2015-09-01,0.590909090909091,0.9,0.5,0.6,682
1706,3,2017-12-01,0.75,0.9,0.5,0.6,682
1707,1,2013-12-01,0.4,0.9,0.5,0.6,684
1708,2,2015-09-01,1.0,0.9,0.5,0.6,684
1709,3,2017-12-01,0.75,0.9,0.5,0.6,684
1710,1,2013-12-01,0.4,0.9,0.5,0.6,685
1711,2,2015-09-01,0.966666666666667,0.9,0.5,0.6,685
1712,3,2017-12-01,0.75,0.9,0.5,0.6,685
1713,1,2013-12-01,0.4,0.9,0.5,0.6,686
1714,2,2015-09-01,0.2,0.9,0.5,0.6,686
1715,3,2017-12-01,0.75,0.9,0.5,0.6,686
1716,1,2013-12-01,0.4,0.9,0.5,0.6,687
1717,2,2015-09-01,0.833333333333333,0.9,0.5,0.6,687
1718,3,2017-12-01,0.75,0.9,0.5,0.6,687
1719,1,2013-12-01,0.4,0.9,0.5,0.6,688
1720,2,2015-09-01,0.5,0.9,0.5,0.6,688
1721,3,2017-12-01,0.75,0.9,0.5,0.6,688
1722,1,2013-12-01,0.4,0.9,0.5,0.6,689
1723,2,2015-09-01,0.855491329479769,0.9,0.5,0.6,689
1724,3,2017-12-01,0.75,0.9,0.5,0.6,689
1728,1,2013-12-01,0.4,0.9,0.5,0.6,691
1729,2,2015-09-01,0.1,0.9,0.5,0.6,691
1730,3,2017-12-01,0.75,0.9,0.5,0.6,691
1731,1,2013-12-01,0.4,0.9,0.5,0.6,692
1732,2,2015-09-01,0.0192307692307692,0.9,0.5,0.6,692
1733,3,2017-12-01,0.75,0.9,0.5,0.6,692
1752,1,2013-12-01,0.4,0.9,0.5,0.6,701
1753,2,2015-09-01,0.8947368421052628,0.9,0.5,0.6,701
1754,3,2017-12-01,0.75,0.9,0.5,0.6,701
1755,1,2013-12-01,0.4,0.9,0.5,0.6,702
1756,2,2015-09-01,1.0,0.9,0.5,0.6,702
1757,3,2017-12-01,0.75,0.9,0.5,0.6,702
1758,1,2013-12-01,0.4,0.9,0.5,0.6,703
1759,2,2015-09-01,0.5,0.9,0.5,0.6,703
1760,3,2017-12-01,0.75,0.9,0.5,0.6,703
1761,1,2013-12-01,0.4,0.9,0.5,0.6,704
1762,2,2015-09-01,1.0,0.9,0.5,0.6,704
1763,3,2017-12-01,0.75,0.9,0.5,0.6,704
1764,1,2013-12-01,0.4,0.9,0.5,0.6,705
1765,2,2015-09-01,1.0,0.9,0.5,0.6,705
1766,3,2017-12-01,0.75,0.9,0.5,0.6,705
1767,1,2013-12-01,0.4,0.9,0.5,0.6,706
1768,2,2015-09-01,1.0,0.9,0.5,0.6,706
1769,3,2017-12-01,0.75,0.9,0.5,0.6,706
1770,1,2013-12-01,0.4,0.9,0.5,0.6,707
1771,2,2015-09-01,0.0,0.9,0.5,0.6,707
1772,3,2017-12-01,0.75,0.9,0.5,0.6,707
1773,1,2013-12-01,0.4,0.9,0.5,0.6,708
1774,2,2015-09-01,0.254901960784314,0.9,0.5,0.6,708
1775,3,2017-12-01,0.75,0.9,0.5,0.6,708
1776,1,2013-12-01,0.4,0.9,0.5,0.6,709
1777,2,2015-09-01,0.272727272727273,0.9,0.5,0.6,709
1778,3,2017-12-01,0.75,0.9,0.5,0.6,709
1779,1,2013-12-01,0.4,0.9,0.5,0.6,710
1780,2,2015-09-01,0.446808510638298,0.9,0.5,0.6,710
1781,3,2017-12-01,0.75,0.9,0.5,0.6,710
1797,1,2013-12-01,0.4,0.9,0.5,0.6,717
1798,2,2015-09-01,0.125,0.9,0.5,0.6,717
1799,3,2017-12-01,0.75,0.9,0.5,0.6,717
1800,1,2013-12-01,0.4,0.9,0.5,0.6,718
1801,2,2015-09-01,0.845070422535211,0.9,0.5,0.6,718
1802,3,2017-12-01,0.75,0.9,0.5,0.6,718
1803,1,2013-12-01,0.4,0.9,0.5,0.6,719
1804,2,2015-09-01,0.625,0.9,0.5,0.6,719
1805,3,2017-12-01,0.75,0.9,0.5,0.6,719
1806,1,2013-12-01,0.4,0.9,0.5,0.6,720
1807,2,2015-09-01,0.7196261682242991,0.9,0.5,0.6,720
1808,3,2017-12-01,0.75,0.9,0.5,0.6,720
1809,1,2013-12-01,0.4,0.9,0.5,0.6,721
1810,2,2015-09-01,0.617647058823529,0.9,0.5,0.6,721
1811,3,2017-12-01,0.75,0.9,0.5,0.6,721
1812,1,2013-12-01,0.4,0.9,0.5,0.6,722
1813,2,2015-09-01,0.4615384615384621,0.9,0.5,0.6,722
1814,3,2017-12-01,0.75,0.9,0.5,0.6,722
1815,1,2013-12-01,0.4,0.9,0.5,0.6,723
1816,2,2015-09-01,0.166666666666667,0.9,0.5,0.6,723
1817,3,2017-12-01,0.75,0.9,0.5,0.6,723
1818,1,2013-12-01,0.4,0.9,0.5,0.6,724
1819,2,2015-09-01,0.192982456140351,0.9,0.5,0.6,724
1820,3,2017-12-01,0.75,0.9,0.5,0.6,724
1821,1,2013-12-01,0.4,0.9,0.5,0.6,725
1822,2,2015-09-01,0.157894736842105,0.9,0.5,0.6,725
1823,3,2017-12-01,0.75,0.9,0.5,0.6,725
1836,1,2013-12-01,0.4,0.9,0.5,0.6,730
1837,2,2015-09-01,0.8461538461538459,0.9,0.5,0.6,730
1838,3,2017-12-01,0.75,0.9,0.5,0.6,730
1839,1,2013-12-01,0.4,0.9,0.5,0.6,731
1840,2,2015-09-01,0.592592592592593,0.9,0.5,0.6,731
1841,3,2017-12-01,0.75,0.9,0.5,0.6,731
1842,1,2013-12-01,0.4,0.9,0.5,0.6,732
1843,2,2015-09-01,0.4615384615384621,0.9,0.5,0.6,732
1844,3,2017-12-01,0.75,0.9,0.5,0.6,732
1845,1,2013-12-01,0.4,0.9,0.5,0.6,733
1846,2,2015-09-01,0.489795918367347,0.9,0.5,0.6,733
1847,3,2017-12-01,0.75,0.9,0.5,0.6,733
1848,1,2013-12-01,0.4,0.9,0.5,0.6,734
1849,2,2015-09-01,1.0,0.9,0.5,0.6,734
1850,3,2017-12-01,0.75,0.9,0.5,0.6,734
1851,1,2013-12-01,0.4,0.9,0.5,0.6,735
1852,2,2015-09-01,0.625,0.9,0.5,0.6,735
1853,3,2017-12-01,0.75,0.9,0.5,0.6,735
1854,1,2013-12-01,0.4,0.9,0.5,0.6,736
1855,2,2015-09-01,0.5714285714285711,0.9,0.5,0.6,736
1856,3,2017-12-01,0.75,0.9,0.5,0.6,736
1857,1,2013-12-01,0.4,0.9,0.5,0.6,737
1858,2,2015-09-01,0.2745098039215689,0.9,0.5,0.6,737
1859,3,2017-12-01,0.75,0.9,0.5,0.6,737
1860,1,2013-12-01,0.4,0.9,0.5,0.6,738
1861,2,2015-09-01,0.297297297297297,0.9,0.5,0.6,738
1862,3,2017-12-01,0.75,0.9,0.5,0.6,738
1863,1,2013-12-01,0.4,0.9,0.5,0.6,739
1864,2,2015-09-01,0.138461538461538,0.9,0.5,0.6,739
1865,3,2017-12-01,0.75,0.9,0.5,0.6,739
1866,1,2013-12-01,0.4,0.9,0.5,0.6,740
1867,2,2015-09-01,0.0384615384615385,0.9,0.5,0.6,740
1868,3,2017-12-01,0.75,0.9,0.5,0.6,740
1869,1,2013-12-01,0.4,0.9,0.5,0.6,741
1870,2,2015-09-01,0.42857142857142894,0.9,0.5,0.6,741
1871,3,2017-12-01,0.75,0.9,0.5,0.6,741
1884,1,2013-12-01,0.4,0.9,0.5,0.6,751
1885,2,2015-09-01,0.975,0.9,0.5,0.6,751
1886,3,2017-12-01,0.75,0.9,0.5,0.6,751
1887,1,2013-12-01,0.4,0.9,0.5,0.6,752
1888,2,2015-09-01,0.6451612903225811,0.9,0.5,0.6,752
1889,3,2017-12-01,0.75,0.9,0.5,0.6,752
1890,1,2013-12-01,0.4,0.9,0.5,0.6,753
1891,2,2015-09-01,0.7843137254901958,0.9,0.5,0.6,753
1892,3,2017-12-01,0.75,0.9,0.5,0.6,753
1893,1,2013-12-01,0.4,0.9,0.5,0.6,754
1894,2,2015-09-01,0.27906976744186,0.9,0.5,0.6,754
1895,3,2017-12-01,0.75,0.9,0.5,0.6,754
1896,1,2013-12-01,0.4,0.9,0.5,0.6,755
1897,2,2015-09-01,0.272727272727273,0.9,0.5,0.6,755
1898,3,2017-12-01,0.75,0.9,0.5,0.6,755
1899,1,2013-12-01,0.4,0.9,0.5,0.6,756
1900,2,2015-09-01,0.109375,0.9,0.5,0.6,756
1901,3,2017-12-01,0.75,0.9,0.5,0.6,756
1902,1,2013-12-01,0.4,0.9,0.5,0.6,757
1903,2,2015-09-01,0.0357142857142857,0.9,0.5,0.6,757
1904,3,2017-12-01,0.75,0.9,0.5,0.6,757
1905,1,2013-12-01,0.4,0.9,0.5,0.6,759
1906,2,2015-09-01,0.0,0.9,0.5,0.6,759
1907,3,2017-12-01,0.75,0.9,0.5,0.6,759
1908,1,2013-12-01,0.4,0.9,0.5,0.6,760
1909,2,2015-09-01,0.0,0.9,0.5,0.6,760
1910,3,2017-12-01,0.75,0.9,0.5,0.6,760
1911,1,2013-12-01,0.4,0.9,0.5,0.6,761
1912,2,2015-09-01,0.923076923076923,0.9,0.5,0.6,761
1913,3,2017-12-01,0.75,0.9,0.5,0.6,761
1917,1,2013-12-01,0.4,0.9,0.5,0.6,764
1918,2,2015-09-01,0.625,0.9,0.5,0.6,764
1919,3,2017-12-01,0.75,0.9,0.5,0.6,764
1920,1,2013-12-01,0.4,0.9,0.5,0.6,765
1921,2,2015-09-01,0.666666666666667,0.9,0.5,0.6,765
1922,3,2017-12-01,0.75,0.9,0.5,0.6,765
1923,1,2013-12-01,0.4,0.9,0.5,0.6,766
1924,2,2015-09-01,0.617647058823529,0.9,0.5,0.6,766
1925,3,2017-12-01,0.75,0.9,0.5,0.6,766
1926,1,2013-12-01,0.4,0.9,0.5,0.6,767
1927,2,2015-09-01,0.576470588235294,0.9,0.5,0.6,767
1928,3,2017-12-01,0.75,0.9,0.5,0.6,767
1929,1,2013-12-01,0.4,0.9,0.5,0.6,768
1930,2,2015-09-01,0.4,0.9,0.5,0.6,768
1931,3,2017-12-01,0.75,0.9,0.5,0.6,768
1932,1,2013-12-01,0.4,0.9,0.5,0.6,769
1933,2,2015-09-01,0.677165354330709,0.9,0.5,0.6,769
1934,3,2017-12-01,0.75,0.9,0.5,0.6,769
1935,1,2013-12-01,0.4,0.9,0.5,0.6,770
1936,2,2015-09-01,0.7647058823529409,0.9,0.5,0.6,770
1937,3,2017-12-01,0.75,0.9,0.5,0.6,770
1938,1,2013-12-01,0.4,0.9,0.5,0.6,771
1939,2,2015-09-01,0.6612111292962359,0.9,0.5,0.6,771
1940,3,2017-12-01,0.75,0.9,0.5,0.6,771
1941,1,2013-12-01,0.4,0.9,0.5,0.6,772
1942,2,2015-09-01,0.58974358974359,0.9,0.5,0.6,772
1943,3,2017-12-01,0.75,0.9,0.5,0.6,772
1944,1,2013-12-01,0.4,0.9,0.5,0.6,775
1945,2,2015-09-01,1.0,0.9,0.5,0.6,775
1946,3,2017-12-01,0.75,0.9,0.5,0.6,775
1947,1,2013-12-01,0.4,0.9,0.5,0.6,776
1948,2,2015-09-01,0.0,0.9,0.5,0.6,776
1949,3,2017-12-01,0.75,0.9,0.5,0.6,776
1950,1,2013-12-01,0.4,0.9,0.5,0.6,777
1951,2,2015-09-01,0.393939393939394,0.9,0.5,0.6,777
1952,3,2017-12-01,0.75,0.9,0.5,0.6,777
1953,1,2013-12-01,0.4,0.9,0.5,0.6,779
1954,2,2015-09-01,1.0,0.9,0.5,0.6,779
1955,3,2017-12-01,0.75,0.9,0.5,0.6,779
1956,1,2013-12-01,0.4,0.9,0.5,0.6,781
1957,2,2015-09-01,1.0,0.9,0.5,0.6,781
1958,3,2017-12-01,0.75,0.9,0.5,0.6,781
1959,1,2013-12-01,0.4,0.9,0.5,0.6,782
1960,2,2015-09-01,0.0,0.9,0.5,0.6,782
1961,3,2017-12-01,0.75,0.9,0.5,0.6,782
1962,1,2013-12-01,0.4,0.9,0.5,0.6,783
1963,2,2015-09-01,0.0,0.9,0.5,0.6,783
1964,3,2017-12-01,0.75,0.9,0.5,0.6,783
1965,1,2013-12-01,0.4,0.9,0.5,0.6,784
1966,2,2015-09-01,0.892307692307692,0.9,0.5,0.6,784
1967,3,2017-12-01,0.75,0.9,0.5,0.6,784
1968,1,2013-12-01,0.4,0.9,0.5,0.6,785
1969,2,2015-09-01,0.555555555555556,0.9,0.5,0.6,785
